;201;"http://dx.doi.org/10.1016/j.ijhydene.2019.02.245";"Physical";"thermal";"Conjoint effect of microwave irradiation and metal nanoparticles on biogas augmentation from anaerobic digestion of green algae"
;761;"http://dx.doi.org/10.1016/j.biortech.2017.09.182";"Chemical";"alkaline";"Influence of pretreatment conditions on lignocellulosic fractions and methane production from grape pomace"
;1534;"http://dx.doi.org/10.1007/s12155-021-10245-9";"Biological";"enzyme";"Evaluation of Steam Explosion Pretreatment and Enzymatic Hydrolysis Conditions for Agave Bagasse in Biomethane Production"
;1608;"http://dx.doi.org/10.1016/j.indcrop.2021.114006";"Chemical";"solvent";"Enhanced digestibility and fermentability of sugarcane bagasse in biofuel production by surfactant-assisted dilute acid pretreatment"
;1685;"http://dx.doi.org/10.1080/09593330.2023.2192364";"Physical";"thermal";"Effect of pretreated and anaerobically digested microalgae on the chemical and biochemical properties of soil and wheat grown on fluvisol"
;526;"http://dx.doi.org/10.1016/j.biortech.2013.06.058";"Chemical";"alkaline";"Increased solubilization of excess sludge does not always result in enhanced anaerobic digestion efficiency"
;642;"http://dx.doi.org/10.1007/s12155-021-10285-1";"Chemical";"alkaline";"Anaerobic Co-Digestion of Tannery Wastes and Untreated/Pretreated Oat Straw"
;105;"http://dx.doi.org/10.1016/j.ibiod.2015.10.023";"Physical";"thermal";"Accelerated high-solids anaerobic digestion of sewage sludge using low-temperature thermal pretreatment"
;1041;"http://dx.doi.org/10.1186/s13068-016-0435-z";"Physical";"thermal";"Biomethane potential of industrial paper wastes and investigation of the methanogenic communities involved"
;106;"http://dx.doi.org/10.1016/j.renene.2022.04.057";"Chemical";"acidic";"Pretreatment of sugarcane bagasse with dilute citric acid and enzymatic hydrolysis: Use of black liquor and solid fraction for biogas production"
;918;"http://dx.doi.org/10.15376/biores.12.1.195-210";"Physical";"thermal";"Influence of Alkaline-Thermal Pretreatment on High-Solids Anaerobic Digestion of Dewatered Activated Sludge"
;1832;"http://dx.doi.org/10.1016/j.jenvman.2023.119427";"Chemical";"oxidizer";"Peracetic acid pretreatment improves biogas production from anaerobic digestion of sewage sludge by promoting organic matter release, conversion and affecting microbial community"
;1424;"http://dx.doi.org/10.1016/j.biortech.2019.121963";"Chemical";"alkaline";"Fractionation of sugarcane bagasse using hydrothermal and advanced oxidative pretreatments for bioethanol and biogas production in lignocellulose biorefineries"
;211;"http://dx.doi.org/10.1002/ep.13072";"Physical";"mechanical desintegration";"Enhancement of biogas production efficiency using appropriate low-temperature pretreatments of municipal treatment plants' excess sludge"
;67;"http://dx.doi.org/10.1007/s12010-019-03044-8";"Biological";"enzyme";"Enzymatic Pretreatment of Microalgae: Cell Wall Disruption, Biomass Solubilisation and Methane Yield Increase"
;529;"http://dx.doi.org/10.3390/molecules25040860";"Physical";"mechanical desintegration";"Methods for the Evaluation of Industrial Mechanical Pretreatments before Anaerobic Digesters"
"initial is wrong should be shredding";1027;"http://dx.doi.org/10.1016/j.ijhydene.2018.04.170";"Chemical";"alkaline";"Effect of inoculum pre-treatment on mesophilic hydrogen and methane production from food waste using two-stage anaerobic digestion"
;1117;"http://dx.doi.org/10.1016/j.biortech.2021.124677";"Chemical";"alkaline";"Enhancing methane production from dewatered waste activated sludge through alkaline and photocatalytic pretreatment"
;1033;"http://dx.doi.org/10.1080/03601234.2014.929912";"Chemical";"alkaline";"Low-heat alkaline pretreatment of biomass for dairy anaerobic codigestion"
;833;"http://dx.doi.org/10.1016/j.wasman.2015.07.045";"Physical";"thermal";"Enhanced mesophilic anaerobic digestion of food waste by thermal pretreatment: Substrate versus digestate heating"
;87;"http://dx.doi.org/10.1016/j.energy.2021.122361";"Chemical";"alkaline";"Mesophilic aerobic digestion: An efficient and inexpensive biological pretreatment to improve biogas production from highly-recalcitrant pinewood"
;217;"http://dx.doi.org/10.5004/dwt.2017.0288";"Chemical";"alkaline";"Effect of high pressure homogenization on anaerobic digestion of the sludge pretreated by combined alkaline and high pressure homogenization"
;837;"http://dx.doi.org/10.1016/j.bej.2009.05.003";"Physical";"thermal";"Kinetics of thermophilic batch anaerobic digestion of thermal hydrolysed waste activated sludge"
;662;"http://dx.doi.org/10.1007/s11356-019-05195-x";"Chemical";"alkaline";"Feasibility of anaerobic digestion on the release of biogas and heavy metals from rice straw pretreated with sodium hydroxide"
;1114;"http://dx.doi.org/10.1016/j.fuel.2022.123639";"Physical";"thermal";"Effect of hydrothermal pretreatment on two-stage anaerobic digestion of food waste and Enteromorpha: Digestion performance, bioenergy efficiency, and microbial community dynamics"
;1692;"http://dx.doi.org/10.3390/fermentation9040399";"Biological";"enzyme";"Effect of Pretreatments on the Production of Biogas from Castor Waste by Anaerobic Digestion"
;1624;"http://dx.doi.org/10.1016/j.biortech.2019.121716";"Physical";"thermal";"Anaerobic bioprocessing of wastewater-derived duckweed: Maximizing product yields in a biorefinery value cascade"
;587;"http://dx.doi.org/10.1021/acssuschemeng.1c02010";"Chemical";"alkaline";"Assessment of Coproduction of Ethanol and Methane from Pennisetum purpureum: Effects of Pretreatment, Process Performance, and Mass Balance"
;930;"http://dx.doi.org/10.1016/j.cej.2014.08.035";"Physical";"ultrasonic";"The selection of pretreatment options for anaerobic digestion (AD): A case study in olive oil waste production"
;271;"http://dx.doi.org/10.1007/s13399-019-00539-6";"Chemical";"alkaline";"Anaerobic digestion of sugar beet pulp after acid thermal and alkali thermal pretreatments"
;1749;"http://dx.doi.org/10.1016/j.jhazmat.2024.134882";"Chemical";"alkaline";"Impact of the thermo-alkaline pretreatment on the anaerobic digestion of poly(butylene adipate-co-terephthalate) (PBAT) and poly(lactic acid) (PLA) blended plastics"
;52;"http://dx.doi.org/10.1016/j.jclepro.2019.04.362";"Physical";"thermal";"Integration of subcritical water pretreatment and anaerobic digestion technologies for valorization of acai processing industries residues"
;752;"http://dx.doi.org/10.1016/j.biortech.2020.123378";"Biological";"enzyme";"Accelerated biomethane production from lignocellulosic biomass: Pretreated by mixed enzymes secreted by Trichoderma viride and Aspergillus sp."
;305;"http://dx.doi.org/10.1007/s00449-015-1519-z";"Physical";"mechanical desintegration";"Impact of milling, enzyme addition, and steam explosion on the solid waste biomethanation of an olive oil production plant"
;652;"http://dx.doi.org/10.1016/j.biortech.2010.04.060";"Chemical";"alkaline";"Enhanced solid-state anaerobic digestion of corn stover by alkaline pretreatment"
;1457;"http://dx.doi.org/10.1080/19443994.2015.1029526";"Chemical";"acidic";"Evaluation of operational parameters for semi-continuous anaerobic digester treating pretreated waste activated sludge"
;1325;"http://dx.doi.org/10.1016/j.biombioe.2022.106354";"Biological";"anaerobic";"Biorefinery for efficient xanthan gum, ethanol, and biogas production from potato crop residues"
;727;"http://dx.doi.org/10.1007/s12155-019-10017-6";"Physical";"thermal";"Biochemical Methane Potential Tests to Evaluate Anaerobic Digestion Enhancement by Thermal Hydrolysis Pretreatment"
;921;"http://dx.doi.org/10.3390/su131910504";"Chemical";"solvent";"Lignocellulosic Corn Stover Biomass Pre-Treatment by Deep Eutectic Solvents (DES) for Biomethane Production Process by Bioresource Anaerobic Digestion"
;768;"http://dx.doi.org/10.1016/j.ibiod.2013.10.007";"Biological";"enzyme";"Examining the mechanisms of short-term solubilization of ground food waste for high-rate anaerobic digestion"
;554;"http://dx.doi.org/10.1016/j.biortech.2016.02.129";"Biological";"fungi";"Comparison between ensilage and fungal pretreatment for storage of giant reed and subsequent methane production"
;1517;"http://dx.doi.org/10.1016/j.biombioe.2020.105705";"Chemical";"alkaline";"Effect of pretreatments on cellulosic composition and morphology of pine needle for possible utilization as substrate for anaerobic digestion"
;542;"http://dx.doi.org/10.1016/j.biortech.2014.03.089";"Physical";"mechanical desintegration";"Enhancing volatile fatty acid (VFA) and bio-methane production from lawn grass with pretreatment"
;1463;"http://dx.doi.org/10.1016/j.biortech.2012.09.027";"Physical";"mechanical desintegration";"Combined treatment of alkaline and disperser for improving solubilization and anaerobic biodegradability of dairy waste activated sludge"
;565;"http://dx.doi.org/10.3390/polym13132207";"Process improvement";"nutrient";"Biomethane Yield, Physicochemical Structures, and Microbial Community Characteristics of Corn Stover Pretreated by Urea Combined with Mild Temperature Hydrotherm"
;485;"http://dx.doi.org/10.1016/j.biombioe.2022.106352";"Physical";"pressure";"Mechanical pretreatments of different agri-based feedstock in full-scale biogas plants under real operational conditions"
;602;"http://dx.doi.org/10.1016/j.proenv.2013.04.097";"Chemical";"alkaline";"Effect of combined pretreatment of waste activated sludge for anaerobic digestion process"
;1798;"http://dx.doi.org/10.1016/j.clwas.2022.100005";"Physical";"thermal";"Biological pre-hydrolysis and thermal pretreatment applied for anaerobic digestion improvement: Kinetic study and statistical variable selection"
;1548;"http://dx.doi.org/10.1016/j.jksus.2020.101241";"Physical";"mechanical desintegration";"Optimization strategies for improved biogas production by recycling of waste through response surface methodology and artificial neural network: Sustainable energy perspective research"
;1683;"http://dx.doi.org/10.1016/j.enconman.2024.118319";"Physical";"thermal";"Process design and economic evaluation for methane and electricity production from Agave bagasse using different pretreatments"
;1556;"http://dx.doi.org/10.1016/j.jenvman.2018.07.053";"Chemical";"acidic";"Agave tequilana bagasse for methane production in batch and sequencing batch reactors: Acid catalyst effect, batch optimization and stability of the semi-continuous process"
;1033;"http://dx.doi.org/10.1080/03601234.2014.929912";"Chemical";"alkaline";"Low-heat alkaline pretreatment of biomass for dairy anaerobic codigestion"
;1858;"http://dx.doi.org/10.3390/en17092030";"Physical";"thermal";"Energy Integration of Thermal Pretreatment in Anaerobic Digestion of Wheat Straw"
;815;"http://dx.doi.org/10.1016/j.renene.2022.01.067";"Physical";"mechanical desintegration";"Understanding the role of mechanical pretreatment before anaerobic digestion: Lab-scale investigations"
;1101;"http://dx.doi.org/10.1016/j.ultsonch.2013.03.006";"Physical";"pressure";"The effects of waste-activated sludge pretreatment using hydrodynamic cavitation for methane production"
;1619;"http://dx.doi.org/10.1016/j.fuel.2020.117741";"Chemical";"oxidizer";"TiO2 - chitosan thin film induced solar photocatalytic deflocculation of sludge for profitable bacterial pretreatment and biofuel production"
;1293;"http://dx.doi.org/10.1016/j.fuel.2012.12.092";"Chemical";"alkaline";"Improvement of biogas production from pine wood by alkali pretreatment"
;924;"http://dx.doi.org/10.1016/j.proenv.2016.02.062";"Physical";"ultrasonic";"Improving methane production during the anaerobic digestion of waste activated sludge: Cao-ultrasonic pretreatment and using different seed sludges"
;747;"http://dx.doi.org/10.1007/s11783-017-0965-z";"Physical";"thermal";"Optimization of microwave pretreatment of lignocellulosic waste for enhancing methane production: Hyacinth as an example"
;1916;"http://dx.doi.org/10.1007/s12649-024-02805-9";"Physical";"thermal";"Effect of Thermal, Acid and Alkaline Pretreatments on Biogas Production from Cattle Manure"
;874;"http://dx.doi.org/10.3389/fmicb.2015.01163";"Biological";"enzyme";"Sequential parametric optimization of methane production from different sources of forest raw material"
;808;"http://dx.doi.org/10.1007/s13399-020-00710-4";"Chemical";"solvent";"Conversion of rubber wood waste to methane by ethanol organosolv pretreatment"
;782;"http://dx.doi.org/10.2175/WER.64.3.9";"Physical";"thermal";"THERMAL PRETREATMENT OF CONCENTRATED DISTILLERY SPENT WASH"
;1825;"http://dx.doi.org/10.1038/s41598-024-68904-8";"Chemical";"solvent";"Biogas potential of organosolv pretreated wheat straw as mono and co-substrate: substrate synergy and microbial dynamics"
;399;"http://dx.doi.org/10.1002/ep.12836";"Physical";"thermal";"Ultrasonic and thermal pretreatment of apple pomace to improve biochemical methane potential"
;1322;"http://dx.doi.org/10.1080/01430750.2013.820143";"Biological";"enzyme";"Enzymatic and organic acid pretreatment of seaweed: effect on reducing sugars production and on biogas inhibition"
;860;"http://dx.doi.org/10.1016/j.biortech.2013.06.017";"Physical";"thermal";"Evaluation of thermal, ultrasonic and alkali pretreatments on mixed-microalgal biomass to enhance anaerobic methane production"
;1037;"http://dx.doi.org/10.1080/03601234.2014.929912";"Chemical";"alkaline";"Low-heat alkaline pretreatment of biomass for dairy anaerobic codigestion"
;328;"http://dx.doi.org/10.1016/j.biortech.2017.03.137";"Physical";"electrolysis";"Prerequisite - An electrohydrolysis pretreatment for anaerobic digestion of lignocellulose waste material"
;92;"http://dx.doi.org/10.2166/wst.2015.398";"Physical";"mechanical desintegration";"Thermochemical pretreatment of lignocellulose residues: assessment of the effect on operational conditions and their interactions on the characteristics of leachable fraction"
;588;"http://dx.doi.org/10.1016/j.enconman.2021.114331";"Physical";"thermal";"Assessment of pretreatment and digestion temperature on anaerobic digestion of whiskey byproducts and microbial taxonomy"
;937;"http://dx.doi.org/10.1016/j.renene.2021.09.099";"Biological";"enzyme";"Assessment of organosolv, hydrothermal, and combined organosolv and hydrothermal with enzymatic pretreatment to increase the production of biogas from Napier grass and Napier silage"
;1662;"http://dx.doi.org/10.1186/1754-6834-6-38";"Physical";"ultrasonic";"Towards a metagenomic understanding on enhanced biomethane production from waste activated sludge after pH 10 pretreatment"
;1515;"http://dx.doi.org/10.1016/j.biombioe.2020.105705";"Physical";"thermal";"Effect of pretreatments on cellulosic composition and morphology of pine needle for possible utilization as substrate for anaerobic digestion"
;1028;"http://dx.doi.org/10.1016/j.ijhydene.2018.04.170";"Biological";"aerobic";"Effect of inoculum pre-treatment on mesophilic hydrogen and methane production from food waste using two-stage anaerobic digestion"
;1132;"http://dx.doi.org/10.1016/j.fuel.2022.125539";"Chemical";"solvent";"Improving biogas production from different parts of spruce tree using leading pretreatments"
;1062;"http://dx.doi.org/10.1016/j.wasman.2015.01.036";"Physical";"thermal";"Zero-valent iron enhanced methanogenic activity in anaerobic digestion of waste activated sludge after heat and alkali pretreatment"
;1263;"http://dx.doi.org/10.1016/j.jclepro.2017.04.042";"Physical";"mechanical desintegration";"Cleaner energy for cleaner production: Modeling and optimization of biogas generation from Carica papayas (Pawpaw) fruit peels"
;396;"http://dx.doi.org/10.1007/s12649-017-9977-y";"Physical";"ultrasonic";"Comparison of Ultrasonic and Hydrothermal Cavitation Pretreatments of Cattle Manure Mixed with Straw Wheat on Fermentative Biogas Production"
;514;"http://dx.doi.org/10.1016/S0960-8524(97)00121-1";"Chemical";"alkaline";"Enhancement of anaerobic digestion of waste activated sludge by alkaline solubilization"
;1569;"http://dx.doi.org/10.1016/j.wasman.2015.08.020";"Physical";"thermal";"Enhancement of anaerobic digestion efficiency of wastewater sludge and olive waste: Synergistic effect of co-digestion and ultrasonic/microwave sludge pre-treatment"
;553;"http://dx.doi.org/10.1016/j.biortech.2016.02.129";"Biological";"anaerobic";"Comparison between ensilage and fungal pretreatment for storage of giant reed and subsequent methane production"
;351;"http://dx.doi.org/10.1016/j.wasman.2017.04.038";"Chemical";"oxidizer";"Chemical pretreatment of lignocellulosic agroindustrial waste for methane production"
;1162;"http://dx.doi.org/10.1007/s11356-022-20940-5";"Chemical";"alkaline";"Influences of organic loading, feed-to-inoculum ratio, and different pretreatment strategies on the methane production performance of eggplant stalk"
;189;"http://dx.doi.org/10.1016/j.wasman.2019.10.020";"Physical";"thermal";"Evaluation of hydrothermal pretreatment for biological treatment of lignocellulosic feedstock (pepper plant and eggplant)"
;333;"http://dx.doi.org/10.1016/j.wasman.2017.04.038";"Chemical";"alkaline";"Chemical pretreatment of lignocellulosic agroindustrial waste for methane production"
;990;"http://dx.doi.org/10.2175/106143017X15131012153194";"Physical";"thermal";"Solubilization of Organics Due to Thermal Hydrolysis Pretreatment and the Shift in Microbial Population in Anaerobic Digestion"
;409;"http://dx.doi.org/10.1016/j.eti.2021.101714";"Chemical";"oxidizer";"Continuous anaerobic digestion of zucchini stem after pretreatment"
;1358;"http://dx.doi.org/10.1016/j.jclepro.2018.09.024";"Chemical";"oxidizer";"Assess a new strategy and develop a new mixer to improve anaerobic microbial activities and clean biogas production"
;1617;"http://dx.doi.org/10.1016/j.fuel.2020.118802";"Physical";"thermal";"Surfactant assisted microwave disintegration of green marine macroalgae for enhanced anaerobic biodegradability and biomethane recovery"
;2;"http://dx.doi.org/10.1016/j.biortech.2016.10.085";"Physical";"thermal";"Effect of hydrothermal pretreatment on Miscanthus anaerobic digestion"
;625;"http://dx.doi.org/10.1016/j.cjche.2020.06.022";"Chemical";"alkaline";"Effect of ultrasonic assisted KOH pretreatment on physiochemical characteristic and anaerobic digestion performance of wheat straw"
;1115;"http://dx.doi.org/10.1016/j.apenergy.2016.09.042";"Chemical";"oxidizer";"Synergistic pretreatment of waste activated sludge using CaO2 in combination with microwave irradiation to enhance methane production during anaerobic digestion"
;16;"http://dx.doi.org/10.1016/j.energy.2013.01.071";"Physical";"mechanical desintegration";"Mechanical pretreatment effects on macroalgae-derived biogas production in co-digestion with sludge in Ireland"
;675;"http://dx.doi.org/10.1016/j.indcrop.2020.112402";"Chemical";"alkaline";"Improving the methane production from zucchini stem by response surface methodology and different pretreatments"
;1127;"http://dx.doi.org/10.1016/j.matchemphys.2021.124614";"Chemical";"solvent";"Enhanced simultaneous saccharification and fermentation of Napier grass and Napier silage for two stage bio-hydrogen and methane production using organosolv and hydrothermal"
;676;"http://dx.doi.org/10.1016/j.indcrop.2020.112402";"Chemical";"oxidizer";"Improving the methane production from zucchini stem by response surface methodology and different pretreatments"
